,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
92,2024-05-31T12:03:33.310000Z,736,628.21367,895.41646,1145.01315,427.4308,-648.81942,969.23054,-124.06875,-83.62105,-36.25126
93,2024-05-31T12:03:33.320000Z,737,635.53861,899.03602,1145.68445,427.39979,-648.9138,969.25755,-124.28906,-83.67123,-36.4542
94,2024-05-31T12:03:33.330000Z,738,642.40529,902.6739,1146.15122,427.39823,-648.85953,969.24326,-124.20975,-83.67386,-36.41953
95,2024-05-31T12:03:33.340000Z,739,648.52187,906.36338,1146.72157,427.4322,-648.83014,969.22175,-124.72948,-83.64115,-36.92143
96,2024-05-31T12:03:33.350000Z,740,654.33088,910.20006,1146.76792,427.4225,-648.87791,969.23494,-124.45164,-83.65576,-36.64692
97,2024-05-31T12:03:33.360000Z,741,659.65713,914.08659,1147.13668,427.40047,-648.87831,969.21749,-124.13633,-83.69469,-36.28515
98,2024-05-31T12:03:33.370000Z,742,664.57237,917.89959,1147.61062,427.42536,-648.87469,969.20883,-124.53435,-83.65131,-36.68822
99,2024-05-31T12:03:33.380000Z,743,669.24946,921.89292,1147.6812,427.3589,-648.88349,969.23744,-123.86929,-83.70365,-36.06144
100,2024-05-31T12:03:33.390000Z,744,673.71107,925.78404,1148.25889,427.41267,-648.84939,969.22767,-124.15896,-83.64997,-36.35734
101,2024-05-31T12:03:33.400000Z,745,678.16554,929.43152,1148.6595,427.44383,-648.87599,969.24017,-124.64732,-83.60986,-36.83128
102,2024-05-31T12:03:33.410000Z,746,682.51226,933.04063,1149.08328,427.38368,-648.8634,969.23465,-124.25882,-83.70144,-36.437
103,2024-05-31T12:03:33.420000Z,747,686.94095,936.49191,1149.50682,427.42662,-648.83716,969.24068,-124.5726,-83.62685,-36.77644
104,2024-05-31T12:03:33.430000Z,748,691.38487,939.98659,1149.86962,427.42637,-648.87976,969.24008,-124.43676,-83.64753,-36.62939
105,2024-05-31T12:03:33.440000Z,749,695.80367,943.23431,1149.86165,427.423,-648.86406,969.2317,-124.62376,-83.64214,-36.80552
106,2024-05-31T12:03:33.450000Z,750,700.12731,946.45749,1150.1127,427.37751,-648.82713,969.22682,-123.99105,-83.72446,-36.22289
107,2024-05-31T12:03:33.460000Z,751,704.17637,949.48773,1149.82191,427.41089,-648.87568,969.21582,-124.51724,-83.67999,-36.68641
108,2024-05-31T12:03:33.470000Z,752,708.03122,952.51022,1149.77736,427.3952,-648.89031,969.22426,-124.44411,-83.69492,-36.64249
109,2024-05-31T12:03:33.480000Z,753,711.50081,955.2503,1149.54557,427.36355,-648.87907,969.22528,-124.14313,-83.69069,-36.34315
110,2024-05-31T12:03:33.490000Z,754,714.87017,958.34898,1149.49365,427.45208,-648.89773,969.23801,-124.62742,-83.59098,-36.79922
111,2024-05-31T12:03:33.500000Z,755,717.93608,961.20349,1148.94451,427.39664,-648.86102,969.20602,-124.25459,-83.70372,-36.40908
112,2024-05-31T12:03:33.510000Z,756,720.92127,964.03443,1148.57185,427.40429,-648.86235,969.22825,-124.15239,-83.65084,-36.34081
113,2024-05-31T12:03:33.520000Z,757,723.74275,966.76345,1148.02362,427.40438,-648.91823,969.24109,-124.32195,-83.63656,-36.50229
114,2024-05-31T12:03:33.530000Z,758,726.37994,969.45175,1147.38425,427.44844,-648.86839,969.24788,-124.62789,-83.60214,-36.8246
115,2024-05-31T12:03:33.540000Z,759,728.84324,971.84497,1146.6796,427.4111,-648.8455,969.26877,-124.26755,-83.65995,-36.50617
116,2024-05-31T12:03:33.550000Z,760,730.96783,973.95305,1145.83249,427.4209,-648.88305,969.24939,-124.44945,-83.65632,-36.64414
117,2024-05-31T12:03:33.560000Z,761,732.75494,975.93286,1145.06241,427.41112,-648.88714,969.26605,-124.31249,-83.63973,-36.50385
118,2024-05-31T12:03:33.570000Z,762,734.27692,977.75919,1144.13404,427.45766,-648.85802,969.23595,-124.69604,-83.58614,-36.8657
119,2024-05-31T12:03:33.580000Z,763,735.52215,979.43451,1143.06404,427.40597,-648.8751,969.25532,-124.42413,-83.68813,-36.60543
120,2024-05-31T12:03:33.590000Z,764,736.64462,981.08372,1142.28217,427.39745,-648.85097,969.24349,-124.1986,-83.67604,-36.42297
121,2024-05-31T12:03:33.600000Z,765,737.68966,982.56725,1141.43063,427.43184,-648.84296,969.23213,-124.685,-83.62586,-36.90721
122,2024-05-31T12:03:33.610000Z,766,738.54668,983.68546,1140.43377,427.39782,-648.8599,969.24059,-124.21133,-83.67564,-36.37698
123,2024-05-31T12:03:33.620000Z,767,739.53986,984.85739,1139.28123,427.39533,-648.86742,969.23036,-124.54513,-83.69617,-36.76398
124,2024-05-31T12:03:33.630000Z,768,740.74921,986.18307,1138.4703,427.35471,-648.8445,969.24738,-123.67503,-83.72028,-35.90909
125,2024-05-31T12:03:33.640000Z,769,742.05616,987.43177,1137.67076,427.40965,-648.83679,969.24136,-124.23354,-83.65299,-36.48063
126,2024-05-31T12:03:33.650000Z,770,743.50118,988.74716,1136.86634,427.39959,-648.90844,969.2449,-124.45437,-83.65659,-36.62922
127,2024-05-31T12:03:33.660000Z,771,744.80866,989.7166,1136.15777,427.43872,-648.8297,969.24666,-124.61505,-83.62926,-36.8363
128,2024-05-31T12:03:33.670000Z,772,746.09101,990.87298,1135.51486,427.41152,-648.85576,969.23333,-124.15123,-83.65049,-36.34102
